City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,mahibadhoo,3.7833,72.9667,26.6,75,95,2.04,MV,1670273032
283,lavrentiya,65.5833,-171.0,-1.28,91,100,8.99,RU,1670273026
284,rio grande,-32.035,-52.0986,27.06,77,0,5.19,BR,1670273033
285,pangnirtung,66.1451,-65.7125,-5.0,93,100,9.26,CA,1670273033
286,kerman,30.2832,57.0788,2.92,81,40,0.0,IR,1670273033
287,ambilobe,-13.2,49.05,24.16,84,25,0.54,MG,1670273034
288,obo,5.3998,26.4869,24.46,55,81,0.7,CF,1670273034
289,huanren,41.2647,125.3667,-11.42,91,6,1.14,CN,1670273034
290,culebra,18.303,-65.301,27.22,82,3,1.34,PR,1670273035
291,zhuanghe,39.7008,122.9911,-2.67,42,0,2.67,CN,1670273035
292,bischheim,48.6163,7.7552,5.74,100,100,1.54,FR,1670273035
293,necochea,-38.5473,-58.7368,34.29,25,6,7.18,AR,1670272973
294,coquimbo,-29.9533,-71.3436,18.85,72,75,4.63,CL,1670273036
295,mweka,-4.85,21.5667,18.78,97,66,0.59,CD,1670273036
296,kharp,66.8014,65.8081,-14.39,92,29,3.36,RU,1670273037
297,ossora,59.2353,163.0719,-14.47,82,52,5.06,RU,1670272749
298,dawlatabad,36.4141,64.9053,-0.15,76,100,2.38,AF,1670273037
299,bossangoa,6.4926,17.4552,25.96,34,38,1.52,CF,1670273037
300,vardo,70.3705,31.1107,-2.01,80,100,5.66,NO,1670273038
301,meulaboh,4.1363,96.1285,23.26,93,100,1.83,ID,1670273038
302,pampierstad,-27.7832,24.6877,17.91,13,35,2.54,ZA,1670273038
303,potosi,-19.5836,-65.7531,9.79,47,84,8.0,BO,1670273039
304,krasnorechenskiy,44.6265,135.3532,-18.08,93,7,1.71,RU,1670273039
305,hamilton,39.1834,-84.5333,9.13,55,100,4.63,US,1670272979
306,virginia beach,36.8529,-75.978,12.23,69,75,3.09,US,1670272484
307,tabuk,17.4189,121.4443,22.51,94,100,1.83,PH,1670273040
308,arman,59.7,150.1667,-27.88,90,8,3.54,RU,1670273040
309,codrington,-38.2667,141.9667,13.3,69,11,5.4,AU,1670273040
310,ust-maya,60.4167,134.5333,-25.85,90,100,2.43,RU,1670273041
311,saint-francois,46.4154,3.9054,-0.18,93,17,0.51,FR,1670273041
312,sept-iles,50.2001,-66.3821,-1.64,93,100,5.14,CA,1670273041
313,taman,45.2117,36.7161,0.99,79,16,12.61,RU,1670273042
314,sitka,57.0531,-135.33,4.94,75,100,3.09,US,1670273042
315,sigli,5.3848,95.9609,25.47,80,100,1.35,ID,1670273043
316,yasenskaya,46.3592,38.269,-3.33,65,2,9.91,RU,1670273043
317,labuhan,-6.8844,112.2051,26.15,82,100,1.44,ID,1670273043
318,victoria,22.2855,114.1577,16.81,78,66,5.36,HK,1670272856
319,porto novo,6.4965,2.6036,27.9,83,40,3.12,BJ,1670273044
320,placido de castro,-10.3353,-67.1856,21.68,98,97,3.66,BR,1670273044
321,santa maria,-29.6842,-53.8069,29.61,58,40,5.66,BR,1670273045
322,touros,-5.1989,-35.4608,26.45,73,23,5.69,BR,1670273045
323,dickinson,29.4608,-95.0513,28.04,75,75,7.2,US,1670272896
